CRASH DATE,ACCIDENT_COUNT,TOTAL_INJURIES
2014-03-01,497,144.0
2014-03-02,344,74.0
2014-03-03,440,93.0
2014-03-04,532,110.0
2014-03-05,491,116.0
2014-03-06,558,122.0
2014-03-07,533,108.0
2014-03-08,515,139.0
2014-03-09,404,112.0
2014-03-10,513,147.0
2014-03-11,510,120.0
2014-03-12,515,114.0
2014-03-13,545,110.0
2014-03-14,585,135.0
2014-03-15,519,120.0
2014-03-16,412,100.0
2014-03-17,519,127.0
2014-03-18,551,121.0
2014-03-19,525,128.0
2014-03-20,628,136.0
2014-03-21,589,165.0
2014-03-22,493,124.0
2014-03-23,427,126.0
2014-03-24,547,126.0
2014-03-25,474,115.0
2014-03-26,563,130.0
2014-03-27,538,133.0
2014-03-28,530,124.0
2014-03-29,569,181.0
2014-03-30,437,125.0
2014-03-31,559,132.0
2014-04-01,549,102.0
2014-04-02,519,130.0
2014-04-03,592,125.0
2014-04-04,622,130.0
2014-04-05,580,150.0
2014-04-06,484,132.0
2014-04-07,533,156.0
2014-04-08,606,130.0
2014-04-09,595,150.0
2014-04-10,645,150.0
2014-04-11,609,136.0
2014-04-12,578,180.0
2014-04-13,482,146.0
2014-04-14,514,164.0
2014-04-15,452,117.0
2014-04-16,570,149.0
2014-04-17,508,97.0
2014-04-18,496,97.0
2014-04-19,525,150.0
2014-04-20,393,108.0
2014-04-21,521,111.0
2014-04-22,459,119.0
2014-04-23,536,117.0
2014-04-24,586,138.0
2014-04-25,617,142.0
2014-04-26,549,128.0
2014-04-27,449,164.0
2014-04-28,597,147.0
2014-04-29,555,117.0
2014-04-30,651,166.0
2014-05-01,650,171.0
2014-05-02,698,162.0
2014-05-03,590,153.0
2014-05-04,451,139.0
2014-05-05,618,159.0
2014-05-06,565,148.0
2014-05-07,603,154.0
2014-05-08,596,131.0
2014-05-09,584,123.0
2014-05-10,550,153.0
2014-05-11,584,165.0
2014-05-12,581,150.0
2014-05-13,560,128.0
2014-05-14,638,173.0
2014-05-15,659,176.0
2014-05-16,700,159.0
2014-05-17,619,143.0
2014-05-18,507,143.0
2014-05-19,572,151.0
2014-05-20,650,179.0
2014-05-21,575,117.0
2014-05-22,593,127.0
2014-05-23,660,185.0
2014-05-24,486,148.0
2014-05-25,472,147.0
2014-05-26,433,130.0
2014-05-27,645,162.0
2014-05-28,538,82.0
2014-05-29,663,185.0
2014-05-30,650,164.0
2014-05-31,587,153.0
2014-06-01,604,187.0
2014-06-02,643,164.0
2014-06-03,663,131.0
2014-06-04,582,136.0
2014-06-05,569,132.0
2014-06-06,743,196.0
2014-06-07,623,192.0
2014-06-08,516,204.0
2014-06-09,528,140.0
2014-06-10,569,124.0
2014-06-11,576,143.0
2014-06-12,563,158.0
2014-06-13,708,190.0
2014-06-14,613,135.0
2014-06-15,475,180.0
2014-06-16,622,179.0
2014-06-17,666,190.0
2014-06-18,663,150.0
2014-06-19,675,164.0
2014-06-20,765,211.0
2014-06-21,557,174.0
2014-06-22,477,144.0
2014-06-23,644,156.0
2014-06-24,632,150.0
2014-06-25,646,175.0
2014-06-26,670,195.0
2014-06-27,660,158.0
2014-06-28,611,197.0
2014-06-29,538,168.0
2014-06-30,610,164.0
2014-07-01,616,149.0
2014-07-02,658,155.0
2014-07-03,740,203.0
2014-07-04,360,118.0
2014-07-05,505,219.0
2014-07-06,451,148.0
2014-07-07,614,169.0
2014-07-08,594,140.0
2014-07-09,569,112.0
2014-07-10,584,136.0
2014-07-11,642,178.0
2014-07-12,550,137.0
2014-07-13,439,147.0
2014-07-14,567,145.0
2014-07-15,587,138.0
2014-07-16,551,137.0
2014-07-17,587,124.0
2014-07-18,625,156.0
2014-07-19,480,154.0
2014-07-20,451,125.0
2014-07-21,557,130.0
2014-07-22,587,154.0
2014-07-23,591,130.0
2014-07-24,539,148.0
2014-07-25,653,178.0
2014-07-26,534,148.0
2014-07-27,476,167.0
2014-07-28,595,151.0
2014-07-29,526,124.0
2014-07-30,605,147.0
2014-07-31,626,138.0
2014-08-01,667,168.0
2014-08-02,540,146.0
2014-08-03,476,122.0
2014-08-04,589,176.0
2014-08-05,606,174.0
2014-08-06,562,120.0
2014-08-07,585,156.0
2014-08-08,601,162.0
2014-08-09,538,152.0
2014-08-10,512,166.0
2014-08-11,604,144.0
2014-08-12,491,126.0
2014-08-13,572,156.0
2014-08-14,625,162.0
2014-08-15,522,99.0
2014-08-16,491,143.0
2014-08-17,476,154.0
2014-08-18,595,128.0
2014-08-19,516,134.0
2014-08-20,551,123.0
2014-08-21,567,147.0
2014-08-22,568,157.0
2014-08-23,454,132.0
2014-08-24,437,134.0
2014-08-25,549,129.0
2014-08-26,608,158.0
2014-08-27,538,133.0
2014-08-28,618,149.0
2014-08-29,631,155.0
2014-08-30,510,125.0
2014-08-31,495,148.0
2014-09-01,392,121.0
2014-09-02,700,144.0
2014-09-03,580,148.0
2014-09-04,727,152.0
2014-09-05,647,134.0
2014-09-06,553,138.0
2014-09-07,477,147.0
2014-09-08,598,135.0
2014-09-09,592,135.0
2014-09-10,618,157.0
2014-09-11,619,131.0
2014-09-12,730,214.0
2014-09-13,558,165.0
2014-09-14,528,155.0
2014-09-15,610,144.0
