Actual_ACCIDENT_COUNT,LSTM_ACCIDENT_COUNT,GRU_ACCIDENT_COUNT
249.0,260.70673,263.5076
233.0,260.00003,262.77756
223.0,258.86832,260.34012
258.0,257.27872,257.67523
311.0,256.67654,260.02933
289.0,258.17526,267.05167
283.0,259.8803,268.2711
259.0,261.59158,269.64267
265.0,262.4155,268.37613
285.0,263.04248,269.17087
292.0,264.1469,272.13873
306.00003,265.66904,274.74127
260.0,267.7927,278.45474
269.0,268.6294,275.49985
242.0,269.1824,276.08707
294.0,268.66278,272.96783
280.0,269.3431,277.759
260.0,270.04996,277.94284
305.0,270.17432,276.15158
273.0,271.4472,281.05032
289.0,272.1204,279.4794
213.0,273.15894,281.4623
280.0,271.8317,273.19235
285.0,271.5999,277.51172
286.00003,271.90097,279.01215
284.0,272.57947,280.06738
284.0,273.38705,280.713
257.0,274.22495,281.42834
279.0,274.12625,278.77264
236.0,274.38647,280.38434
272.0,273.37732,275.54202
294.0,272.9508,277.54398
306.00003,273.49094,280.43765
318.0,274.8668,283.40958
247.99998,276.99503,286.99783
245.0,277.14908,281.04184
276.0,276.39404,278.63867
313.0,276.14658,280.60974
284.0,277.27045,285.46814
290.0,278.0739,284.40872
307.0,278.96124,285.4869
270.0,280.4228,288.4034
225.0,280.88715,285.66956
195.0,279.43503,279.34302
282.0,276.14206,272.10025
281.0,274.89194,277.71548
274.0,274.43668,278.51544
311.0,274.26776,278.1439
282.0,275.46628,282.72174
285.0,276.32602,281.63873
292.0,277.15057,282.39764
273.0,278.2048,283.95596
252.0,278.5758,282.71332
315.0,278.03134,279.88605
340.0,279.1096,286.1611
285.0,281.64102,292.00696
263.0,283.05228,289.147
283.0,283.2767,286.44022
262.0,283.54016,287.70972
292.0,283.0663,285.33545
299.00003,283.24927,287.80856
280.0,283.92273,289.486
355.0,284.2234,288.2151
247.99998,286.81073,297.30078
283.0,286.7945,288.6849
274.0,286.83105,290.24234
257.0,286.52817,289.13037
232.0,285.52496,286.32675
296.0,283.44006,281.44684
239.0,282.9675,286.1336
238.0,281.30872,280.2447
278.0,279.22913,277.29077
238.0,278.2667,279.70367
267.0,276.57065,275.03564
242.0,275.56335,276.15515
217.00002,274.08435,272.8089
297.00003,271.60007,267.79834
233.0,271.34973,274.30798
306.00003,270.00272,268.6516
266.0,270.6128,275.31348
273.0,270.79294,273.21848
281.0,271.05832,273.954
327.0,271.67572,275.43448
282.0,273.8048,282.10867
276.0,275.12537,280.4766
316.0,275.92465,280.33
360.0,277.72495,285.58762
295.0,281.30795,293.97464
197.00002,283.5375,291.3489
222.0,281.96475,279.82614
211.0,279.55615,277.373
209.0,276.253,272.71497
265.0,272.54773,268.49002
229.0,270.5611,271.45334
239.0,268.22906,266.9607
271.0,266.30936,265.62534
330.00003,265.62183,267.95914
261.0,267.3837,275.85852
260.0,267.99368,271.82126
271.0,268.2035,271.24973
260.0,268.50754,272.38855
222.0,268.4453,271.6041
269.0,267.04736,266.70367
276.0,266.6237,269.80362
273.0,266.81274,271.3292
216.0,267.108,271.87637
295.0,265.684,265.49207
313.0,266.09943,272.0831
264.0,267.77808,276.73123
279.0,268.51917,273.92596
309.0,269.34964,275.53323
239.0,271.10886,280.16156
239.0,270.98834,274.31326
297.00003,270.08826,272.2452
271.0,270.5752,277.6441
283.0,270.7923,276.56152
284.0,271.4122,278.1176
323.0,272.21252,279.1545
218.00002,274.30927,284.87265
216.0,273.56314,275.2557
155.0,271.5313,271.19455
188.0,266.90402,260.28476
234.0,262.29803,257.16006
272.0,259.12592,258.31158
263.0,258.06985,261.64215
228.0,257.69153,261.6753
186.00002,256.6342,257.84177
247.0,254.01051,250.9817
257.0,252.70407,254.23055
239.0,252.18791,255.6899
220.0,251.6139,254.25017
252.0,250.43849,251.46255
234.0,250.00647,253.75757
182.0,249.37645,252.26704
236.99998,246.9998,245.36194
279.0,245.70497,248.13747
231.0,246.20592,253.33267
290.0,245.91194,250.2175
299.00003,247.34651,256.68243
256.0,249.6572,261.15292
219.0,251.06172,259.55212
198.0,250.846,255.61899
276.0,249.18843,251.30774
255.0,249.3082,257.85428
226.0,249.55283,257.64203
252.0,248.98703,254.66275
210.0,248.87418,256.4763
233.0,247.56703,251.88322
244.0,246.61943,252.35695
225.0,246.2335,253.13077
260.0,245.43712,250.9498
252.0,245.64598,254.04703
267.0,246.02165,254.35234
243.0,246.92195,256.7759
251.0,247.3379,255.44244
257.0,247.772,256.31534
205.0,248.33688,257.54514
245.0,247.23616,252.04257
221.0,246.81564,254.25993
