Actual_ACCIDENT_COUNT,LSTM_ACCIDENT_COUNT,GRU_ACCIDENT_COUNT
223.0,235.68265,260.29706
241.0,224.62323,230.696
232.0,237.3477,252.39996
218.00002,256.8023,244.24203
287.0,262.48904,240.32452
230.0,257.80145,260.01776
282.0,242.88689,267.11746
250.0,226.26651,252.7889
235.0,217.41745,236.2204
200.0,231.51137,252.78352
263.0,250.22276,238.08408
229.0,258.42102,251.2265
235.0,252.47989,247.49213
258.0,237.48622,264.88614
236.0,219.98102,242.55081
213.0,210.27641,226.46422
291.0,222.72641,238.73026
255.0,245.68811,250.7226
251.0,256.52994,252.61342
335.0,253.58188,255.23752
327.0,245.74937,302.61206
225.0,235.63928,282.58316
217.00002,228.67308,243.51385
232.0,242.37929,262.40347
257.0,262.1804,256.05832
269.0,269.92126,260.96988
206.00002,265.0017,267.09155
192.0,248.03094,266.87418
193.0,224.90834,225.03406
181.0,209.0261,208.14394
266.0,216.0829,218.2747
258.0,234.37598,227.31744
273.0,242.91286,237.98657
263.0,240.53676,249.42468
264.0,229.96487,271.5367
211.0,215.76848,249.49872
218.00002,206.6598,226.48926
283.0,219.31662,245.50542
251.0,241.62572,254.4263
282.0,251.7395,254.14471
279.0,250.12845,265.69638
310.00003,240.11731,288.3042
234.0,227.92746,271.7944
212.0,220.47171,241.4304
329.0,233.5818,256.50323
280.0,258.48224,276.79813
284.0,270.82553,274.9936
269.0,269.29944,279.0425
265.0,257.20648,296.08105
285.0,239.89537,262.17545
185.00002,231.1787,255.40773
215.0,242.04083,253.0497
217.00002,259.07324,246.0745
149.0,262.83493,243.22032
217.00002,249.19067,217.66449
210.0,228.61246,242.35097
239.0,205.88254,209.23453
211.0,194.072,210.38037
234.0,205.48288,221.98517
231.0,224.92346,221.97665
185.00002,233.2854,228.3447
200.0,226.0844,193.4238
210.0,212.79471,200.62936
170.0,198.75584,183.7836
171.0,192.28644,163.86156
217.00002,206.81616,185.75887
177.0,228.69989,197.52426
209.0,237.11754,199.14513
217.00002,232.74095,201.80801
214.0,219.8904,217.9601
184.0,203.12085,200.92061
188.0,192.75237,177.11008
205.0,203.90231,194.57399
226.0,222.0453,196.99423
246.0,230.49606,207.43666
217.00002,228.24744,217.60437
273.0,216.82745,230.9821
217.00002,204.08177,227.01613
259.0,197.77676,203.0074
216.0,215.12923,235.30156
219.0,237.40216,236.18092
188.0,246.93831,238.48549
210.0,240.77426,231.9432
253.0,225.38148,242.07599
183.0,208.44809,223.8912
166.0,197.46683,187.17717
212.0,206.96103,198.60628
193.0,224.39671,201.80229
147.0,230.4652,203.8249
211.0,221.39478,191.83492
251.0,205.99753,209.39174
210.0,190.64935,201.97075
189.0,183.58736,186.56978
266.0,196.95146,202.06284
218.00002,219.75789,215.39377
233.0,230.69176,221.32803
